!Property,!Text,!Note
AppName,Панель диагностики,Name of the app
ButtonApply,Применить,Text of the apply button
ButtonCancel,Отменить,Text of the cancel button
ButtonClose,Закрыть,Text of the close button
ButtonDonate,Пожертвовать,Text of the donate button
ButtonDone,Готово,Text of the done button
ButtonGitHub,GitHub,Text of the GitHub button
ButtonGraph,График,Text of the graph button
ButtonHide,Скрыть,Text of the hide button
ButtonNo,Нет,Text of the no button
ButtonReload,Перезапустить,Text of the reload button
ButtonSave,Сохранить,Text of the save button
ButtonSettings,Настройки,Text of the settings button
ButtonShow,Показать,Text of the show button
ButtonSkip,Пропустить,Text of the skip button
ButtonUpdate,Обновление,Text of the update button
ButtonVisibility,Видимость,Text of the visibility button
ButtonYes,Да,Text of the yes button
ChangeLogTitle,Change Log,Title of the change log window
CPU,Процессор,CPU monitor title
CPUClock,Частота процессора,Full name for CPU clock metric
CPUClockLabel,Частота,Short label for CPU clock metric
CPUCoreClock,Частота ядра,Full name for CPU core clock metric
CPUCoreClockLabel,Ядро,Short label for CPU core clock metric
CPUCoreLoad,Загрузка ядра,Full name for CPU core load metric
CPUCoreLoadLabel,Загрузка,Short label for CPU core load metric
CPUFan,Охлаждение CPU,Full name for CPU fan metric
CPUFanLabel,Охлаждение,Short label for CPU fan metric
CPULoad,Загрузка процессора,Full name for CPU load metric
CPULoadLabel,Загрузка,Short label for CPU load metric
CPUTemp,Температура процессора,Full name for CPU temp metric
CPUTempLabel,Температура,Short label for CPU temp metric
CPUVoltage,Напряжение процессора,Full name for CPU voltage metric
CPUVoltageLabel,Напряжение,Short label for CPU voltage metric
DriveFree,Свободно места,Full name for drive free metric
DriveFreeLabel,Свободно,Short label for drive free metric
DriveLoad,Загрузка диска,Full name for drive load metric
DriveLoadBar,Индикатор загрузки,Full name for drive load bar metric
DriveLoadBarLabel,Индикатор,Short label for drive load bar metric
DriveLoadLabel,Загрузка,Short label for drive load metric
DriveRead,Скорость чтения,Full name for drive read metric
DriveReadLabel,Чтение,Short label for drive read metric
Drives,Диски,Drives monitor title
DriveUsed,Использовано места,Full name for drive used metric
DriveUsedLabel,Используется,Short label for drive used metric
DriveWrite,Скорость записи,Full name for drive write metric
DriveWriteLabel,Запись,Short label for drive write metric
ErrorPerformanceCounter,Ваш счетчик производительности поврежден. Нажмите кнопку ОК для перехода на страницу Wiki с описанием решения этой ошибки.,Text of the performance counter error
ErrorTitle,Ошибка,Title of the error popup
GPU,Видеокарта,GPU monitor title
GPUCoreClock,Частота GPU,Full name for GPU core clock metric
GPUCoreClockLabel,Ядро,Short label for RAM core clock metric
GPUCoreLoad,Загрузка GPU,Full name for GPU core load metric
GPUCoreLoadLabel,Загрузка,Short label for GPU core load metric
GPUFan,Охлаждение GPU,Full name for GPU fan metric
GPUFanLabel,Охлаждение,Short label for GPU voltage metric
GPUTemp,Температура GPU,Full name for GPU temp metric
GPUTempLabel,Температура,Short label for GPU temp metric
GPUVoltage,Напряжение GPU,Full name for GPU voltage metric
GPUVoltageLabel,Напряжение,Short label for GPU voltage metric
GPUVRAMClock,Частота видеопамяти,Full name for GPU VRAM clock metric
GPUVRAMClockLabel,Видеопамять,Short label for GPU VRAM clock metric
GPUVRAMLoad,Загрузка видеопамяти,Full name for GPU VRAM load metric
GPUVRAMLoadLabel,Загрузка VRAM,Short label for GPU VRAM load metric
GraphConfigSectionTitle,Конфигурация,Title of the config section in the graph window
GraphDuration,Длительность,Graph config duration label
GraphDurationMinute,Минуту,Graph duration minute
GraphDurationMinutes,Минут,Graph duration minutes plural
GraphDurationSeconds,Секунд,Graph duration seconds
GraphHardware,Оборудование,Graph config hardware label
GraphMetrics,Метрики,Graph config metrics label
GraphMonitor,Монитор,Graph config monitor label
GraphTitle,График,Title of the graph window
LanguageChangedText,Пожалуйста перезапустите приложение.,Text of the language changed popup
LanguageChangedTitle,Язык изменился,Title of the language changed popup
Network,Сеть,Network monitor title
NetworkIn,Входящий канал,Full name for network in metric
NetworkInLabel,Вх:,Short label for network in metric
NetworkOut,Исходящий канал,Full name for network out metric
NetworkOutLabel,Исх:,Short label for network out metric
RAM,ОЗУ,RAM monitor title
RAMClock,Частота ОЗУ,Full name for RAM clock metric
RAMClockLabel,Частота,Short label for RAM clock metric
RAMFree,Свободно памяти,Full name for RAM free metric
RAMFreeLabel,Свободно,Short label for RAM free metric
RAMLoad,Загрузка ОЗУ,Full name for RAM load metric
RAMLoadLabel,Загрузка,Short label for RAM load metric
RAMUsed,Используется ОЗУ,Full name for RAM load metric
RAMUsedLabel,Используется,Short label for RAM used metric
RAMVoltage,Напряжение ОЗУ,Full name for RAM voltage metric
RAMVoltageLabel,Напряжение,Short label for RAM voltage metric
Settings24HourClock,24-часовой формат,Settings 24 hour clock label
Settings24HourClockTooltip,Устанавливает 24-часовой формат времени.,Settings 24 hour clock tooltip
SettingsAdvancedTab,Дополнительно,Title of the settings advanced tab
